formula,name,cas_number,molecular_weight,melting_temp_K,boiling_temp_K
C2H3N,acetonitrile,75-05-8,41.05192,226.65,354.75
C7H5N,benzonitrile,100-47-0,103.1213,260.15,464.15
CH2Cl2,dichloromethane,75-09-2,84.93258,178.1,312.95
C2H4Cl2,"1,1_dichloroethane",75-34-3,98.95916,176.2,329.45
C2H4Cl2,"1,2_dichloroethane",107-06-2,98.95916,237.65,356.649574556
C4H8O,tetrahydrofuran,109-99-9,72.10571999999999,165.15,339.15
C3H7NO,dimethylformamide,68-12-2,73.09378,212.15,425.95
C4H9NO,dimethylacetamide,127-19-5,87.12035999999999,253.15,439.05
C6H4F2,"1,2_difluorobenzene",367-11-3,114.0927664,239.15,367.05
C6H4F2,"1,3_difluorobenzene",372-18-9,114.0927664,209.15,356.15
C6H4F2,"1,4_difluorobenzene",540-36-3,114.0927664,260.15,362.05
H2O,water,7732-18-5,18.01528,273.15,373.124295848
CH4O,methanol,67-56-1,32.04186,175.15,337.632383296
C2H6O,ethanol,64-17-5,46.06844,159.05,351.570441659
C7H8,toluene,108-88-3,92.13842,179.2,383.745753146
C4H10O,diethyl_ether,60-29-7,74.1216,157.15,307.604401817
C3H8O2,Methoxyethanol,109-86-4,76.09442,188.15,397.45
